latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-1.0,-91.125,7.0,0,GMT,GMT

time,temperature_2m (°C),precipitation (mm),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),temperature_80m (°C),relative_humidity_2m (%)
2025-06-03T02:00,24.7,0.00,0.00,1012.1,14.4,23.9,75
2025-06-03T03:00,24.7,0.00,0.00,1012.8,13.8,23.9,76
2025-06-03T04:00,24.6,0.00,0.00,1012.9,13.6,23.9,77
2025-06-03T05:00,24.5,0.00,0.00,1012.8,12.3,23.9,78
2025-06-03T06:00,24.4,0.00,0.00,1012.3,10.9,23.8,78
2025-06-03T07:00,24.3,0.00,0.00,1011.7,10.9,23.8,78
2025-06-03T08:00,24.3,0.00,0.00,1011.0,9.1,23.8,77
2025-06-03T09:00,24.4,0.00,0.00,1010.6,8.8,23.9,76
2025-06-03T10:00,24.5,0.00,0.00,1010.6,10.2,23.9,76
2025-06-03T11:00,24.6,0.00,0.00,1011.0,14.3,23.9,77
2025-06-03T12:00,24.6,0.00,0.00,1011.7,16.9,23.7,79
2025-06-03T13:00,24.6,0.00,0.00,1012.2,18.4,23.8,79
2025-06-03T14:00,24.7,0.00,0.00,1012.9,18.8,23.9,79
2025-06-03T15:00,24.9,0.00,0.00,1012.9,17.8,24.2,77
2025-06-03T16:00,25.3,0.00,0.00,1012.7,19.1,24.5,75
2025-06-03T17:00,25.6,0.00,0.00,1012.2,20.5,24.6,73
2025-06-03T18:00,25.5,0.00,0.00,1011.9,19.4,24.5,72
2025-06-03T19:00,25.7,0.00,0.00,1011.2,18.8,24.7,70
2025-06-03T20:00,25.7,0.00,0.00,1010.3,18.2,24.8,69
2025-06-03T21:00,25.7,0.00,0.00,1009.6,17.4,25.0,69
2025-06-03T22:00,25.7,0.00,0.00,1009.4,16.7,25.1,69
2025-06-03T23:00,25.6,0.00,0.00,1009.8,16.3,25.1,70
2025-06-04T00:00,25.3,0.00,0.00,1010.2,15.9,24.8,72
2025-06-04T01:00,25.1,0.00,0.00,1010.9,15.1,24.5,74
2025-06-04T02:00,24.9,0.00,0.00,1011.4,15.1,24.3,76
2025-06-04T03:00,24.8,0.00,0.00,1011.9,13.8,24.2,79
2025-06-04T04:00,24.6,0.00,0.00,1012.0,13.4,24.0,81
2025-06-04T05:00,24.5,0.00,0.00,1012.0,12.7,23.9,82
2025-06-04T06:00,24.4,0.00,0.00,1011.5,12.8,23.6,83
2025-06-04T07:00,24.3,0.00,0.00,1010.9,13.0,23.6,84
2025-06-04T08:00,24.2,0.00,0.00,1010.4,11.7,23.5,83
2025-06-04T09:00,24.2,0.00,0.00,1010.2,12.4,23.6,83
2025-06-04T10:00,24.2,0.00,0.00,1010.2,12.5,23.5,83
2025-06-04T11:00,24.2,0.00,0.00,1010.5,12.7,23.6,82
2025-06-04T12:00,24.2,0.00,0.00,1011.1,12.1,23.6,83
2025-06-04T13:00,24.7,0.00,0.00,1011.6,14.6,23.9,79
2025-06-04T14:00,25.2,0.00,0.00,1012.1,16.9,24.4,76
2025-06-04T15:00,25.5,0.00,0.00,1012.4,19.0,24.8,74
2025-06-04T16:00,25.8,0.00,0.00,1012.4,18.6,24.9,72
2025-06-04T17:00,26.0,0.00,0.00,1012.1,18.8,25.1,71
2025-06-04T18:00,26.4,0.00,0.00,1011.1,19.5,25.3,69
2025-06-04T19:00,26.4,0.00,0.00,1010.1,21.0,25.3,69
2025-06-04T20:00,26.4,0.00,0.00,1009.4,19.7,25.3,69
2025-06-04T21:00,26.3,0.00,0.00,1008.7,20.0,25.3,70
2025-06-04T22:00,26.0,0.00,0.00,1008.6,18.6,25.1,71
2025-06-04T23:00,25.8,0.00,0.00,1008.8,17.2,25.0,72
2025-06-05T00:00,25.3,0.00,0.00,1009.4,16.2,24.9,76
2025-06-05T01:00,25.2,0.00,0.00,1010.0,15.5,24.8,78
2025-06-05T02:00,25.0,0.00,0.00,1010.6,15.5,24.6,80
2025-06-05T03:00,24.9,0.00,0.00,1011.2,14.4,24.4,82
2025-06-05T04:00,24.7,0.00,0.00,1011.4,14.2,24.1,84
2025-06-05T05:00,24.6,0.00,0.00,1011.8,13.0,24.0,85
2025-06-05T06:00,24.4,0.00,0.00,1011.2,13.2,23.8,86
2025-06-05T07:00,24.3,0.00,0.00,1010.5,13.4,23.6,87
2025-06-05T08:00,24.2,0.00,0.00,1010.0,14.8,23.5,87
2025-06-05T09:00,24.2,0.10,0.00,1009.7,13.9,23.5,87
2025-06-05T10:00,24.2,0.10,0.00,1009.7,13.1,23.5,86
2025-06-05T11:00,24.3,0.10,0.00,1010.0,12.9,23.6,85
2025-06-05T12:00,24.4,0.10,0.00,1010.4,13.8,23.6,84
2025-06-05T13:00,24.5,0.00,0.00,1010.7,15.8,23.7,83
2025-06-05T14:00,24.8,0.10,0.00,1011.4,13.0,24.0,82
2025-06-05T15:00,25.1,0.00,0.00,1011.7,9.6,24.5,79
2025-06-05T16:00,25.3,0.00,0.00,1011.4,12.2,24.9,77
2025-06-05T17:00,25.6,0.00,0.00,1011.1,12.4,25.1,75
2025-06-05T18:00,25.9,0.00,0.00,1010.4,15.7,25.0,73
2025-06-05T19:00,26.0,0.00,0.00,1009.7,16.5,24.9,72
2025-06-05T20:00,26.1,0.00,0.00,1008.9,17.9,24.9,72
2025-06-05T21:00,25.9,0.00,0.00,1008.5,18.7,24.8,74
2025-06-05T22:00,25.7,0.00,0.00,1008.5,18.1,24.7,75
2025-06-05T23:00,25.3,0.00,0.00,1008.8,17.4,24.6,78
2025-06-06T00:00,24.9,0.00,0.00,1009.3,15.7,24.4,81
2025-06-06T01:00,24.7,0.00,0.00,1009.6,16.1,24.2,83
2025-06-06T02:00,24.6,0.00,0.00,1010.2,17.0,24.1,85
2025-06-06T03:00,24.5,0.00,0.00,1010.8,15.7,23.9,86
2025-06-06T04:00,24.4,0.00,0.00,1011.1,14.8,23.7,86
2025-06-06T05:00,24.4,0.00,0.00,1011.0,15.6,23.6,85
2025-06-06T06:00,24.3,0.00,0.00,1010.8,14.3,23.5,86
2025-06-06T07:00,24.3,0.00,0.00,1010.5,13.5,23.4,84
2025-06-06T08:00,24.2,0.00,0.00,1010.1,13.7,23.3,84
2025-06-06T09:00,24.2,0.00,0.00,1010.2,15.3,23.3,84
2025-06-06T10:00,24.1,0.00,0.00,1010.5,15.5,23.2,84
2025-06-06T11:00,24.1,0.00,0.00,1010.7,17.3,23.2,85
2025-06-06T12:00,24.0,0.00,0.00,1011.3,17.7,23.1,86
2025-06-06T13:00,24.2,0.00,0.00,1011.6,18.7,23.2,85
2025-06-06T14:00,24.5,0.00,0.00,1012.2,19.6,23.4,83
2025-06-06T15:00,24.8,0.00,0.00,1012.2,19.1,23.7,81
2025-06-06T16:00,25.0,0.00,0.00,1012.1,19.4,23.9,80
2025-06-06T17:00,25.1,0.00,0.00,1011.3,18.6,24.0,80
2025-06-06T18:00,25.0,0.00,0.00,1010.5,19.6,23.9,80
2025-06-06T19:00,25.1,0.00,0.00,1009.5,18.8,24.0,79
2025-06-06T20:00,25.1,0.00,0.00,1008.8,17.7,24.1,79
2025-06-06T21:00,25.1,0.00,0.00,1008.3,18.4,24.1,78
2025-06-06T22:00,24.9,0.00,0.00,1008.3,17.7,24.1,79
2025-06-06T23:00,24.7,0.00,0.00,1008.5,18.7,23.9,79
2025-06-07T00:00,24.5,0.00,0.00,1009.0,16.1,23.8,81
2025-06-07T01:00,24.4,0.00,0.00,1009.6,16.3,23.6,82
2025-06-07T02:00,24.4,0.00,0.00,1010.2,14.2,23.5,82
2025-06-07T03:00,24.3,0.00,0.00,1011.0,14.1,23.4,84
2025-06-07T04:00,24.2,0.00,0.00,1011.3,15.2,23.4,85
2025-06-07T05:00,24.1,0.00,0.00,1011.2,15.6,23.3,86
