time,temperature_2m,precipitation(mm),rain(mm),surface_pressure(hPa),wind_speed_10m(km/h),temperature_80m,relative_humidity_2m
2025-06-03T02:00,24.7,0.00,0.00,1010.9,9.3,23.0,78
2025-06-03T03:00,24.1,0.00,0.00,1011.5,9.2,22.5,80
2025-06-03T04:00,23.6,0.00,0.00,1011.6,8.9,22.1,82
2025-06-03T05:00,23.1,0.00,0.00,1011.6,7.6,21.8,84
2025-06-03T06:00,22.7,0.00,0.00,1011.0,7.8,21.4,84
2025-06-03T07:00,22.4,0.00,0.00,1010.4,7.1,21.2,86
2025-06-03T08:00,22.1,0.00,0.00,1010.0,6.5,21.0,87
2025-06-03T09:00,21.9,0.00,0.00,1009.7,6.5,20.8,89
2025-06-03T10:00,21.8,0.00,0.00,1009.9,6.6,20.7,89
2025-06-03T11:00,21.6,0.00,0.00,1010.4,6.1,20.6,90
2025-06-03T12:00,22.1,0.00,0.00,1010.9,6.1,20.6,87
2025-06-03T13:00,23.6,0.00,0.00,1011.8,6.6,21.7,80
2025-06-03T14:00,25.4,0.00,0.00,1012.1,7.0,23.2,72
2025-06-03T15:00,27.3,0.00,0.00,1011.7,6.1,24.6,65
2025-06-03T16:00,28.7,0.00,0.00,1010.9,6.2,25.9,61
2025-06-03T17:00,29.7,0.00,0.00,1009.8,5.4,27.0,58
2025-06-03T18:00,28.5,0.00,0.00,1009.0,7.0,27.0,63
2025-06-03T19:00,28.9,0.00,0.00,1008.1,5.9,27.5,62
2025-06-03T20:00,28.6,0.00,0.00,1007.4,4.6,27.8,63
2025-06-03T21:00,29.2,0.00,0.00,1007.4,2.7,27.9,60
2025-06-03T22:00,28.8,0.00,0.00,1007.8,2.9,27.3,63
2025-06-03T23:00,27.0,0.10,0.00,1008.7,9.1,25.8,71
2025-06-04T00:00,25.7,0.00,0.00,1009.4,10.1,24.7,75
2025-06-04T01:00,25.2,0.00,0.00,1010.0,8.4,23.8,76
2025-06-04T02:00,24.6,0.00,0.00,1010.6,8.7,22.8,77
2025-06-04T03:00,23.7,0.00,0.00,1011.0,8.6,22.2,80
2025-06-04T04:00,23.0,0.00,0.00,1010.8,9.3,21.7,83
2025-06-04T05:00,22.6,0.00,0.00,1010.7,8.0,21.4,85
2025-06-04T06:00,22.2,0.00,0.00,1010.1,7.9,21.2,88
2025-06-04T07:00,22.0,0.00,0.00,1009.6,6.9,21.2,89
2025-06-04T08:00,21.9,0.00,0.00,1009.3,6.1,21.3,89
2025-06-04T09:00,21.9,0.00,0.00,1009.2,6.6,21.6,89
2025-06-04T10:00,22.2,0.00,0.00,1009.4,5.7,21.8,87
2025-06-04T11:00,22.3,0.00,0.00,1009.9,5.3,21.9,85
2025-06-04T12:00,22.8,0.00,0.00,1010.4,4.7,22.0,84
2025-06-04T13:00,24.0,0.00,0.00,1010.8,6.0,22.4,78
2025-06-04T14:00,25.6,0.00,0.00,1011.0,5.2,23.2,72
2025-06-04T15:00,27.3,0.00,0.00,1010.9,5.0,24.5,66
2025-06-04T16:00,29.2,0.00,0.00,1010.1,5.1,26.1,60
2025-06-04T17:00,31.1,0.00,0.00,1009.2,4.5,27.5,54
2025-06-04T18:00,31.3,0.00,0.00,1008.5,5.2,28.1,53
2025-06-04T19:00,30.4,0.00,0.00,1007.6,5.0,28.5,55
2025-06-04T20:00,29.1,0.00,0.00,1007.1,5.4,27.7,61
2025-06-04T21:00,27.9,0.10,0.10,1006.8,8.2,27.1,67
2025-06-04T22:00,27.6,0.00,0.00,1007.0,6.1,27.3,68
2025-06-04T23:00,27.3,0.00,0.00,1007.6,4.7,26.7,68
2025-06-05T00:00,25.7,0.00,0.00,1008.7,10.0,23.7,75
2025-06-05T01:00,24.0,0.00,0.00,1009.8,11.0,22.1,80
2025-06-05T02:00,23.1,0.00,0.00,1010.7,8.5,21.5,84
2025-06-05T03:00,22.7,0.00,0.00,1011.3,7.9,21.2,85
2025-06-05T04:00,22.3,0.00,0.00,1011.3,8.4,21.1,86
2025-06-05T05:00,22.2,0.00,0.00,1011.3,8.4,21.3,86
2025-06-05T06:00,22.3,0.00,0.00,1010.7,7.4,21.6,85
2025-06-05T07:00,22.4,0.00,0.00,1010.0,6.9,21.5,84
2025-06-05T08:00,22.4,0.00,0.00,1009.8,6.4,21.5,84
2025-06-05T09:00,22.4,0.00,0.00,1009.8,6.2,21.4,84
2025-06-05T10:00,22.5,0.00,0.00,1009.8,5.6,21.4,83
2025-06-05T11:00,22.4,0.00,0.00,1010.0,5.1,21.4,83
2025-06-05T12:00,22.5,0.00,0.00,1010.1,4.8,21.4,83
2025-06-05T13:00,23.8,0.00,0.00,1010.6,3.9,22.1,78
2025-06-05T14:00,25.8,0.00,0.00,1010.9,3.2,23.4,71
2025-06-05T15:00,27.9,0.00,0.00,1010.5,2.2,24.7,64
2025-06-05T16:00,29.7,0.00,0.00,1009.4,3.1,26.1,59
2025-06-05T17:00,30.4,0.00,0.00,1008.2,6.3,27.4,56
2025-06-05T18:00,31.1,0.00,0.00,1007.2,7.8,28.5,55
2025-06-05T19:00,31.6,0.00,0.00,1006.2,8.7,29.3,53
2025-06-05T20:00,31.5,0.00,0.00,1005.7,10.1,29.7,54
2025-06-05T21:00,31.0,0.00,0.00,1005.7,9.7,29.5,55
2025-06-05T22:00,30.1,0.00,0.00,1006.4,4.1,28.4,59
2025-06-05T23:00,27.9,0.00,0.00,1007.4,6.2,26.1,69
2025-06-06T00:00,26.4,0.00,0.00,1008.2,10.1,24.9,73
2025-06-06T01:00,25.6,0.00,0.00,1009.3,11.1,23.6,75
2025-06-06T02:00,24.9,0.00,0.00,1010.2,11.5,22.6,78
2025-06-06T03:00,23.9,0.00,0.00,1010.8,12.2,22.2,81
2025-06-06T04:00,23.5,0.00,0.00,1011.1,11.0,22.1,81
2025-06-06T05:00,23.3,0.00,0.00,1011.2,10.3,21.9,82
2025-06-06T06:00,23.1,0.00,0.00,1010.5,10.0,21.8,84
2025-06-06T07:00,23.0,0.00,0.00,1010.1,9.2,21.7,84
2025-06-06T08:00,22.9,0.00,0.00,1009.8,9.3,21.6,84
2025-06-06T09:00,22.7,0.00,0.00,1009.8,8.2,21.4,84
2025-06-06T10:00,22.6,0.00,0.00,1010.3,7.5,21.3,84
2025-06-06T11:00,22.5,0.00,0.00,1010.9,7.5,21.3,83
2025-06-06T12:00,22.6,0.00,0.00,1011.3,6.9,21.3,83
2025-06-06T13:00,22.9,0.00,0.00,1012.0,5.8,21.5,82
2025-06-06T14:00,23.3,0.00,0.00,1012.3,4.8,22.0,80
2025-06-06T15:00,24.5,0.00,0.00,1012.1,4.8,22.9,76
2025-06-06T16:00,25.6,0.00,0.00,1011.3,3.9,24.0,73
2025-06-06T17:00,26.4,0.00,0.00,1010.2,1.3,24.9,70
2025-06-06T18:00,27.9,0.00,0.00,1009.2,1.1,26.0,65
2025-06-06T19:00,29.0,0.00,0.00,1008.1,1.1,26.6,60
2025-06-06T20:00,28.7,0.00,0.00,1007.4,0.8,26.9,61
2025-06-06T21:00,28.3,0.00,0.00,1007.2,0.4,27.0,62
2025-06-06T22:00,28.0,0.00,0.00,1007.5,2.7,27.1,65
2025-06-06T23:00,27.2,0.00,0.00,1007.9,4.0,26.7,68
2025-06-07T00:00,26.4,0.00,0.00,1008.6,4.8,25.3,73
2025-06-07T01:00,25.7,0.00,0.00,1009.4,6.5,23.9,76
2025-06-07T02:00,24.2,0.00,0.00,1009.8,6.9,22.9,81
2025-06-07T03:00,23.5,0.00,0.00,1010.3,5.9,22.6,83
2025-06-07T04:00,23.2,0.00,0.00,1010.1,4.8,22.5,84
2025-06-07T05:00,23.2,0.00,0.00,1009.9,3.6,22.5,84
2025-06-07T06:00,23.0,0.00,0.00,1009.3,3.4,22.3,83
2025-06-07T07:00,22.7,0.00,0.00,1009.1,2.8,22.2,84
2025-06-07T08:00,22.5,0.00,0.00,1008.9,3.4,22.1,85
2025-06-07T09:00,22.3,0.00,0.00,1009.1,4.0,21.9,86
2025-06-07T10:00,22.1,0.00,0.00,1009.6,3.5,21.8,87
2025-06-07T11:00,22.0,0.00,0.00,1009.7,3.8,21.7,87
2025-06-07T12:00,22.6,0.00,0.00,1010.0,3.6,21.8,85
